,birth_country,year,destination,values
0,Australia,2011,Australia,"16,321,840"
1,Norfolk Island,2011,Australia,270
2,"Aust E T, nec",2011,Australia,0
3,New Zealand,2011,Australia,"543,950"
4,New Caledonia,2011,Australia,"1,450"
5,PNG,2011,Australia,"30,650"
6,Solomon Islands,2011,Australia,"2,020"
7,Vanuatu,2011,Australia,"1,300"
8,Guam,2011,Australia,100
9,Kiribati,2011,Australia,600
10,Marshall Is,2011,Australia,40
11,"Micronesia, F S",2011,Australia,20
12,Nauru,2011,Australia,620
13,N Mariana Is,2011,Australia,20
14,Palau,2011,Australia,20
15,Cook Islands,2011,Australia,"6,930"
16,Fiji,2011,Australia,"65,470"
17,French Poly,2011,Australia,480
18,Niue,2011,Australia,810
19,Samoa,2011,Australia,"21,820"
20,Samoa American,2011,Australia,290
21,Tokelau,2011,Australia,600
22,Tonga,2011,Australia,"10,560"
23,Tuvalu,2011,Australia,140
24,Wallis/Futuna,2011,Australia,20
25,Pitcairn Is,2011,Australia,0
26,"Polynesia, nec",2011,Australia,10
27,Adelie Land,2011,Australia,0
28,Argentinian A T,2011,Australia,0
29,Australian A T,2011,Australia,0
30,British A T,2011,Australia,0
31,Chilean A T,2011,Australia,0
32,Queen Maud Land,2011,Australia,0
33,Ross Dependency,2011,Australia,0
34,England,2011,Australia,"991,040"
35,Isle of Man,2011,Australia,890
36,N'thern Ireland,2011,Australia,"27,320"
37,Scotland,2011,Australia,"141,220"
38,Wales,2011,Australia,"33,470"
39,Guernsey,2011,Australia,760
40,Jersey,2011,Australia,"1,290"
41,Ireland,2011,Australia,"78,620"
42,Austria,2011,Australia,"19,800"
43,Belgium,2011,Australia,"6,690"
44,France,2011,Australia,"29,770"
45,Germany,2011,Australia,"125,750"
46,Liechtenstein,2011,Australia,30
47,Luxembourg,2011,Australia,230
48,Monaco,2011,Australia,70
49,Netherlands,2011,Australia,"87,660"
50,Switzerland,2011,Australia,"14,260"
51,Denmark,2011,Australia,"10,640"
52,Faroe Islands,2011,Australia,40
53,Finland,2011,Australia,"9,520"
54,Greenland,2011,Australia,30
55,Iceland,2011,Australia,710
56,Norway,2011,Australia,"4,400"
57,Sweden,2011,Australia,"10,330"
58,Aland Islands,2011,Australia,40
59,Andorra,2011,Australia,20
60,Gibraltar,2011,Australia,480
61,Holy See,2011,Australia,0
62,Italy,2011,Australia,"201,680"
63,Malta,2011,Australia,"47,960"
64,Portugal,2011,Australia,"18,550"
65,San Marino,2011,Australia,10
66,Spain,2011,Australia,"15,320"
67,Albania,2011,Australia,"2,950"
68,Bosnia/Herzegov,2011,Australia,"39,440"
69,Bulgaria,2011,Australia,"3,620"
70,Croatia,2011,Australia,"67,580"
71,Cyprus,2011,Australia,"21,150"
72,North Macedonia,2011,Australia,"51,140"
73,Greece,2011,Australia,"121,180"
74,Moldova,2011,Australia,"1,040"
75,Romania,2011,Australia,"16,720"
76,Slovenia,2011,Australia,"8,260"
77,Montenegro,2011,Australia,"1,850"
78,Serbia,2011,Australia,"34,850"
79,Kosovo,2011,Australia,"1,390"
80,Belarus,2011,Australia,"1,870"
81,Czechia,2011,Australia,"13,450"
82,Estonia,2011,Australia,"2,430"
83,Hungary,2011,Australia,"22,420"
84,Latvia,2011,Australia,"5,470"
85,Lithuania,2011,Australia,"3,130"
86,Poland,2011,Australia,"57,900"
87,Russia,2011,Australia,"21,500"
88,Slovakia,2011,Australia,"6,020"
89,Ukraine,2011,Australia,"16,280"
90,Algeria,2011,Australia,"1,400"
91,Egypt,2011,Australia,"42,080"
92,Libya,2011,Australia,"2,900"
93,Morocco,2011,Australia,"1,870"
94,Sudan,2011,Australia,"22,000"
95,Tunisia,2011,Australia,580
96,Western Sahara,2011,Australia,10
97,Sp North Africa,2011,Australia,0
98,South Sudan,2011,Australia,"3,900"
99,Bahrain,2011,Australia,"1,440"
100,Gaza Str/W Bank,2011,Australia,"3,020"
101,Iran,2011,Australia,"39,640"
102,Iraq,2011,Australia,"54,980"
103,Israel,2011,Australia,"10,840"
104,Jordan,2011,Australia,"5,440"
105,Kuwait,2011,Australia,"4,720"
106,Lebanon,2011,Australia,"90,030"
107,Oman,2011,Australia,"1,250"
108,Qatar,2011,Australia,690
109,Saudi Arabia,2011,Australia,"12,640"
110,Syria,2011,Australia,"9,670"
111,Turkey,2011,Australia,"39,980"
112,Unit Arab Emir,2011,Australia,"5,570"
113,Yemen,2011,Australia,610
114,Myanmar,2011,Australia,"24,430"
115,Cambodia,2011,Australia,"32,510"
116,Laos,2011,Australia,"11,300"
117,Thailand,2011,Australia,"52,990"
118,Vietnam,2011,Australia,"207,620"
119,Brunei,2011,Australia,"3,020"
120,Indonesia,2011,Australia,"73,060"
121,Malaysia,2011,Australia,"134,140"
122,Philippines,2011,Australia,"193,030"
123,Singapore,2011,Australia,"55,820"
124,Timor-Leste,2011,Australia,"10,540"
125,China,2011,Australia,"387,420"
126,Hong Kong,2011,Australia,"85,990"
127,Macau,2011,Australia,"2,610"
128,Mongolia,2011,Australia,780
129,Taiwan,2011,Australia,"33,450"
130,Japan,2011,Australia,"41,390"
131,"Korea, North",2011,Australia,230
132,"Korea, South",2011,Australia,"85,930"
133,Bangladesh,2011,Australia,"31,620"
134,Bhutan,2011,Australia,"2,680"
135,India,2011,Australia,"337,120"
136,Maldives,2011,Australia,440
137,Nepal,2011,Australia,"27,810"
138,Pakistan,2011,Australia,"34,150"
139,Sri Lanka,2011,Australia,"99,740"
140,Afghanistan,2011,Australia,"32,970"
141,Armenia,2011,Australia,"1,220"
142,Azerbaijan,2011,Australia,460
143,Georgia,2011,Australia,500
144,Kazakhstan,2011,Australia,"1,310"
145,Kyrgyzstan,2011,Australia,400
146,Tajikistan,2011,Australia,110
147,Turkmenistan,2011,Australia,90
148,Uzbekistan,2011,Australia,"1,380"
149,Bermuda,2011,Australia,520
150,Canada,2011,Australia,"46,230"
151,St Pierre/Mique,2011,Australia,0
152,USA,2011,Australia,"90,090"
153,Argentina,2011,Australia,"13,800"
154,Bolivia,2011,Australia,900
155,Brazil,2011,Australia,"17,060"
156,Chile,2011,Australia,"28,520"
157,Colombia,2011,Australia,"13,030"
158,Ecuador,2011,Australia,"2,000"
159,Falkland Is,2011,Australia,130
160,French Guiana,2011,Australia,10
161,Guyana,2011,Australia,610
162,Paraguay,2011,Australia,450
163,Peru,2011,Australia,"9,840"
164,Suriname,2011,Australia,120
165,Uruguay,2011,Australia,"10,540"
166,Venezuela,2011,Australia,"3,870"
167,"S America, nec",2011,Australia,0
168,Belize,2011,Australia,70
169,Costa Rica,2011,Australia,450
170,El Salvador,2011,Australia,"10,990"
171,Guatemala,2011,Australia,430
172,Honduras,2011,Australia,240
173,Mexico,2011,Australia,"3,770"
174,Nicaragua,2011,Australia,820
175,Panama,2011,Australia,230
176,Anguilla,2011,Australia,0
177,Antigua/Barbuda,2011,Australia,40
178,Aruba,2011,Australia,60
179,Bahamas,2011,Australia,290
180,Barbados,2011,Australia,430
181,Cayman Islands,2011,Australia,90
182,Cuba,2011,Australia,760
183,Dominica,2011,Australia,40
184,Dominican Rep,2011,Australia,160
185,Grenada,2011,Australia,130
186,Guadeloupe,2011,Australia,30
187,Haiti,2011,Australia,110
188,Jamaica,2011,Australia,"1,150"
189,Martinique,2011,Australia,50
190,Montserrat,2011,Australia,10
191,Puerto Rico,2011,Australia,150
192,St Kitts/Nevis,2011,Australia,40
193,St Lucia,2011,Australia,50
194,St Vinc/Grenad,2011,Australia,60
195,Trinidad/Tobago,2011,Australia,"1,730"
196,Turks/Caicos Is,2011,Australia,0
197,"Virgin Is, Brit",2011,Australia,20
198,"Virgin Is, US",2011,Australia,10
199,St Barthelemy,2011,Australia,0
200,St Martin (Fr),2011,Australia,0
201,Bonaire/SE/Saba,2011,Australia,0
202,Curacao,2011,Australia,120
203,Sint Maarten Dp,2011,Australia,10
204,Benin,2011,Australia,90
205,Burkina Faso,2011,Australia,40
206,Cameroon,2011,Australia,320
207,Cabo Verde,2011,Australia,30
208,Cent Africa Rep,2011,Australia,20
209,Chad,2011,Australia,60
210,"Congo, Rep",2011,Australia,"1,120"
211,"Congo, Dem Rep",2011,Australia,"2,850"
212,Cote d'Ivoire,2011,Australia,500
213,Equator Guinea,2011,Australia,10
214,Gabon,2011,Australia,30
215,Gambia,2011,Australia,110
216,Ghana,2011,Australia,"4,440"
217,Guinea,2011,Australia,720
218,Guinea-Bissau,2011,Australia,20
219,Liberia,2011,Australia,"3,010"
220,Mali,2011,Australia,60
221,Mauritania,2011,Australia,50
222,Niger,2011,Australia,30
223,Nigeria,2011,Australia,"5,130"
224,Sao Tome/Princ,2011,Australia,20
225,Senegal,2011,Australia,380
226,Sierra Leone,2011,Australia,"3,450"
227,Togo,2011,Australia,320
228,Angola,2011,Australia,530
229,Botswana,2011,Australia,"1,120"
230,Burundi,2011,Australia,"1,940"
231,Comoros,2011,Australia,20
232,Djibouti,2011,Australia,150
233,Eritrea,2011,Australia,"3,260"
234,Ethiopia,2011,Australia,"9,630"
235,Kenya,2011,Australia,"15,870"
236,Lesotho,2011,Australia,120
237,Madagascar,2011,Australia,270
238,Malawi,2011,Australia,"1,080"
239,Mauritius,2011,Australia,"26,780"
240,Mayotte,2011,Australia,0
241,Mozambique,2011,Australia,890
242,Namibia,2011,Australia,"1,160"
243,Reunion,2011,Australia,210
244,Rwanda,2011,Australia,720
245,St Helena,2011,Australia,50
246,Seychelles,2011,Australia,"2,980"
247,Somalia,2011,Australia,"6,590"
248,South Africa,2011,Australia,"161,590"
249,Eswatini,2011,Australia,350
250,Tanzania,2011,Australia,"3,940"
251,Uganda,2011,Australia,"3,040"
252,Zambia,2011,Australia,"6,350"
253,Zimbabwe,2011,Australia,"34,610"
254,"S & E Afr, nec",2011,Australia,20
255,Inadequately described,2011,Australia,0
256,Australia,2011,New South Wales,"5,175,400"
257,Norfolk Island,2011,New South Wales,100
258,"Aust E T, nec",2011,New South Wales,0
259,New Zealand,2011,New South Wales,"128,830"
260,New Caledonia,2011,New South Wales,560
261,PNG,2011,New South Wales,"6,150"
262,Solomon Islands,2011,New South Wales,590
263,Vanuatu,2011,New South Wales,520
264,Guam,2011,New South Wales,30
265,Kiribati,2011,New South Wales,120
266,Marshall Is,2011,New South Wales,10
267,"Micronesia, F S",2011,New South Wales,10
268,Nauru,2011,New South Wales,90
269,N Mariana Is,2011,New South Wales,0
270,Palau,2011,New South Wales,10
271,Cook Islands,2011,New South Wales,"2,390"
272,Fiji,2011,New South Wales,"37,120"
273,French Poly,2011,New South Wales,170
274,Niue,2011,New South Wales,350
275,Samoa,2011,New South Wales,"9,040"
276,Samoa American,2011,New South Wales,90
277,Tokelau,2011,New South Wales,290
278,Tonga,2011,New South Wales,"6,400"
279,Tuvalu,2011,New South Wales,20
280,Wallis/Futuna,2011,New South Wales,10
281,Pitcairn Is,2011,New South Wales,0
282,"Polynesia, nec",2011,New South Wales,10
283,Adelie Land,2011,New South Wales,0
284,Argentinian A T,2011,New South Wales,0
285,Australian A T,2011,New South Wales,0
286,British A T,2011,New South Wales,0
287,Chilean A T,2011,New South Wales,0
288,Queen Maud Land,2011,New South Wales,0
289,Ross Dependency,2011,New South Wales,0
290,England,2011,New South Wales,"248,600"
291,Isle of Man,2011,New South Wales,210
292,N'thern Ireland,2011,New South Wales,"7,170"
293,Scotland,2011,New South Wales,"34,920"
294,Wales,2011,New South Wales,"8,830"
295,Guernsey,2011,New South Wales,180
296,Jersey,2011,New South Wales,330
297,Ireland,2011,New South Wales,"25,700"
298,Austria,2011,New South Wales,"6,740"
299,Belgium,2011,New South Wales,"2,110"
300,France,2011,New South Wales,"11,080"
301,Germany,2011,New South Wales,"36,490"
302,Liechtenstein,2011,New South Wales,10
303,Luxembourg,2011,New South Wales,60
304,Monaco,2011,New South Wales,20
305,Netherlands,2011,New South Wales,"21,070"
306,Switzerland,2011,New South Wales,"4,530"
307,Denmark,2011,New South Wales,"3,230"
308,Faroe Islands,2011,New South Wales,10
309,Finland,2011,New South Wales,"2,750"
310,Greenland,2011,New South Wales,10
311,Iceland,2011,New South Wales,240
312,Norway,2011,New South Wales,"1,410"
313,Sweden,2011,New South Wales,"3,570"
314,Aland Islands,2011,New South Wales,10
315,Andorra,2011,New South Wales,10
316,Gibraltar,2011,New South Wales,120
317,Holy See,2011,New South Wales,0
318,Italy,2011,New South Wales,"56,840"
319,Malta,2011,New South Wales,"18,600"
320,Portugal,2011,New South Wales,"10,000"
321,San Marino,2011,New South Wales,0
322,Spain,2011,New South Wales,"6,260"
323,Albania,2011,New South Wales,240
324,Bosnia/Herzegov,2011,New South Wales,"12,170"
325,Bulgaria,2011,New South Wales,"1,120"
326,Croatia,2011,New South Wales,"24,590"
327,Cyprus,2011,New South Wales,"7,780"
328,North Macedonia,2011,New South Wales,"21,810"
329,Greece,2011,New South Wales,"38,980"
330,Moldova,2011,New South Wales,260
331,Romania,2011,New South Wales,"4,190"
332,Slovenia,2011,New South Wales,"2,740"
333,Montenegro,2011,New South Wales,600
334,Serbia,2011,New South Wales,"12,100"
335,Kosovo,2011,New South Wales,330
336,Belarus,2011,New South Wales,480
337,Czechia,2011,New South Wales,"5,430"
338,Estonia,2011,New South Wales,910
339,Hungary,2011,New South Wales,"8,330"
340,Latvia,2011,New South Wales,"1,670"
341,Lithuania,2011,New South Wales,"1,030"
342,Poland,2011,New South Wales,"17,140"
343,Russia,2011,New South Wales,"8,140"
344,Slovakia,2011,New South Wales,"2,840"
345,Ukraine,2011,New South Wales,"5,900"
346,Algeria,2011,New South Wales,600
347,Egypt,2011,New South Wales,"21,320"
348,Libya,2011,New South Wales,800
349,Morocco,2011,New South Wales,720
350,Sudan,2011,New South Wales,"6,350"
