,birth_country,year,destination,values
0,Australia,2016,Australia,"17,278,800"
1,Norfolk Island,2016,Australia,770
2,"Aust E T, nec",2016,Australia,0
3,New Zealand,2016,Australia,"568,170"
4,New Caledonia,2016,Australia,"1,590"
5,PNG,2016,Australia,"34,260"
6,Solomon Islands,2016,Australia,"2,360"
7,Vanuatu,2016,Australia,"1,400"
8,Guam,2016,Australia,120
9,Kiribati,2016,Australia,640
10,Marshall Is,2016,Australia,50
11,"Micronesia, F S",2016,Australia,30
12,Nauru,2016,Australia,710
13,N Mariana Is,2016,Australia,30
14,Palau,2016,Australia,30
15,Cook Islands,2016,Australia,"8,140"
16,Fiji,2016,Australia,"73,970"
17,French Poly,2016,Australia,540
18,Niue,2016,Australia,970
19,Samoa,2016,Australia,"28,820"
20,Samoa American,2016,Australia,430
21,Tokelau,2016,Australia,660
22,Tonga,2016,Australia,"11,980"
23,Tuvalu,2016,Australia,190
24,Wallis/Futuna,2016,Australia,20
25,Pitcairn Is,2016,Australia,10
26,"Polynesia, nec",2016,Australia,10
27,Adelie Land,2016,Australia,0
28,Argentinian A T,2016,Australia,0
29,Australian A T,2016,Australia,0
30,British A T,2016,Australia,0
31,Chilean A T,2016,Australia,0
32,Queen Maud Land,2016,Australia,0
33,Ross Dependency,2016,Australia,0
34,England,2016,Australia,"1,002,060"
35,Isle of Man,2016,Australia,930
36,N'thern Ireland,2016,Australia,"26,730"
37,Scotland,2016,Australia,"137,760"
38,Wales,2016,Australia,"32,360"
39,Guernsey,2016,Australia,870
40,Jersey,2016,Australia,"1,380"
41,Ireland,2016,Australia,"88,020"
42,Austria,2016,Australia,"17,470"
43,Belgium,2016,Australia,"7,370"
44,France,2016,Australia,"37,470"
45,Germany,2016,Australia,"116,700"
46,Liechtenstein,2016,Australia,20
47,Luxembourg,2016,Australia,260
48,Monaco,2016,Australia,90
49,Netherlands,2016,Australia,"78,670"
50,Switzerland,2016,Australia,"14,160"
51,Denmark,2016,Australia,"10,130"
52,Faroe Islands,2016,Australia,20
53,Finland,2016,Australia,"9,050"
54,Greenland,2016,Australia,40
55,Iceland,2016,Australia,570
56,Norway,2016,Australia,"4,390"
57,Sweden,2016,Australia,"11,640"
58,Aland Islands,2016,Australia,30
59,Andorra,2016,Australia,30
60,Gibraltar,2016,Australia,490
61,Holy See,2016,Australia,0
62,Italy,2016,Australia,"195,760"
63,Malta,2016,Australia,"43,020"
64,Portugal,2016,Australia,"19,130"
65,San Marino,2016,Australia,10
66,Spain,2016,Australia,"18,090"
67,Albania,2016,Australia,"3,530"
68,Bosnia/Herzegov,2016,Australia,"36,060"
69,Bulgaria,2016,Australia,"4,010"
70,Croatia,2016,Australia,"60,170"
71,Cyprus,2016,Australia,"19,690"
72,North Macedonia,2016,Australia,"49,680"
73,Greece,2016,Australia,"113,420"
74,Moldova,2016,Australia,"1,160"
75,Romania,2016,Australia,"16,970"
76,Slovenia,2016,Australia,"8,000"
77,Montenegro,2016,Australia,"2,070"
78,Serbia,2016,Australia,"33,380"
79,Kosovo,2016,Australia,"1,470"
80,Belarus,2016,Australia,"2,230"
81,Czechia,2016,Australia,"13,110"
82,Estonia,2016,Australia,"3,450"
83,Hungary,2016,Australia,"20,790"
84,Latvia,2016,Australia,"4,840"
85,Lithuania,2016,Australia,"3,440"
86,Poland,2016,Australia,"53,670"
87,Russia,2016,Australia,"26,490"
88,Slovakia,2016,Australia,"6,790"
89,Ukraine,2016,Australia,"17,180"
90,Algeria,2016,Australia,"1,640"
91,Egypt,2016,Australia,"45,220"
92,Libya,2016,Australia,"2,870"
93,Morocco,2016,Australia,"2,240"
94,Sudan,2016,Australia,"19,140"
95,Tunisia,2016,Australia,680
96,Western Sahara,2016,Australia,10
97,Sp North Africa,2016,Australia,0
98,South Sudan,2016,Australia,"8,430"
99,Bahrain,2016,Australia,"1,820"
100,Gaza Str/W Bank,2016,Australia,"3,230"
101,Iran,2016,Australia,"66,150"
102,Iraq,2016,Australia,"74,680"
103,Israel,2016,Australia,"11,350"
104,Jordan,2016,Australia,"6,950"
105,Kuwait,2016,Australia,"6,920"
106,Lebanon,2016,Australia,"93,720"
107,Oman,2016,Australia,"1,840"
108,Qatar,2016,Australia,"1,260"
109,Saudi Arabia,2016,Australia,"14,480"
110,Syria,2016,Australia,"16,320"
111,Turkey,2016,Australia,"39,920"
112,Unit Arab Emir,2016,Australia,"9,170"
113,Yemen,2016,Australia,770
114,Myanmar,2016,Australia,"34,070"
115,Cambodia,2016,Australia,"35,100"
116,Laos,2016,Australia,"10,950"
117,Thailand,2016,Australia,"71,250"
118,Vietnam,2016,Australia,"243,220"
119,Brunei,2016,Australia,"2,950"
120,Indonesia,2016,Australia,"78,970"
121,Malaysia,2016,Australia,"152,900"
122,Philippines,2016,Australia,"252,690"
123,Singapore,2016,Australia,"59,120"
124,Timor-Leste,2016,Australia,"9,780"
125,China,2016,Australia,"557,690"
126,Hong Kong,2016,Australia,"97,590"
127,Macau,2016,Australia,"2,930"
128,Mongolia,2016,Australia,"2,560"
129,Taiwan,2016,Australia,"54,040"
130,Japan,2016,Australia,"49,040"
131,"Korea, North",2016,Australia,240
132,"Korea, South",2016,Australia,"111,570"
133,Bangladesh,2016,Australia,"46,250"
134,Bhutan,2016,Australia,"6,420"
135,India,2016,Australia,"489,410"
136,Maldives,2016,Australia,610
137,Nepal,2016,Australia,"58,980"
138,Pakistan,2016,Australia,"69,660"
139,Sri Lanka,2016,Australia,"124,500"
140,Afghanistan,2016,Australia,"53,670"
141,Armenia,2016,Australia,"1,520"
142,Azerbaijan,2016,Australia,680
143,Georgia,2016,Australia,650
144,Kazakhstan,2016,Australia,"2,020"
145,Kyrgyzstan,2016,Australia,520
146,Tajikistan,2016,Australia,160
147,Turkmenistan,2016,Australia,110
148,Uzbekistan,2016,Australia,"1,950"
149,Bermuda,2016,Australia,580
150,Canada,2016,Australia,"53,750"
151,St Pierre/Mique,2016,Australia,0
152,USA,2016,Australia,"105,750"
153,Argentina,2016,Australia,"16,020"
154,Bolivia,2016,Australia,"1,080"
155,Brazil,2016,Australia,"32,900"
156,Chile,2016,Australia,"31,040"
157,Colombia,2016,Australia,"22,680"
158,Ecuador,2016,Australia,"2,710"
159,Falkland Is,2016,Australia,120
160,French Guiana,2016,Australia,20
161,Guyana,2016,Australia,670
162,Paraguay,2016,Australia,510
163,Peru,2016,Australia,"11,570"
164,Suriname,2016,Australia,160
165,Uruguay,2016,Australia,"10,620"
166,Venezuela,2016,Australia,"6,470"
167,"S America, nec",2016,Australia,0
168,Belize,2016,Australia,80
169,Costa Rica,2016,Australia,530
170,El Salvador,2016,Australia,"11,430"
171,Guatemala,2016,Australia,550
172,Honduras,2016,Australia,310
173,Mexico,2016,Australia,"5,920"
174,Nicaragua,2016,Australia,870
175,Panama,2016,Australia,260
176,Anguilla,2016,Australia,20
177,Antigua/Barbuda,2016,Australia,60
178,Aruba,2016,Australia,70
179,Bahamas,2016,Australia,310
180,Barbados,2016,Australia,450
181,Cayman Islands,2016,Australia,150
182,Cuba,2016,Australia,900
183,Dominica,2016,Australia,40
184,Dominican Rep,2016,Australia,210
185,Grenada,2016,Australia,140
186,Guadeloupe,2016,Australia,20
187,Haiti,2016,Australia,120
188,Jamaica,2016,Australia,"1,280"
189,Martinique,2016,Australia,40
190,Montserrat,2016,Australia,10
191,Puerto Rico,2016,Australia,180
192,St Kitts/Nevis,2016,Australia,50
193,St Lucia,2016,Australia,70
194,St Vinc/Grenad,2016,Australia,70
