,birth_country,year,destination,values
0,Australia,2001,Australia,"14,822,350"
1,Norfolk Island,2001,Australia,190
2,"Aust E T, nec",2001,Australia,10
3,New Zealand,2001,Australia,"389,600"
4,New Caledonia,2001,Australia,"1,160"
5,PNG,2001,Australia,"25,640"
6,Solomon Islands,2001,Australia,"1,440"
7,Vanuatu,2001,Australia,"1,040"
8,Guam,2001,Australia,50
9,Kiribati,2001,Australia,430
10,Marshall Is,2001,Australia,30
11,"Micronesia, F S",2001,Australia,20
12,Nauru,2001,Australia,480
13,N Mariana Is,2001,Australia,10
14,Palau,2001,Australia,20
15,Cook Islands,2001,Australia,"4,960"
16,Fiji,2001,Australia,"49,070"
17,French Poly,2001,Australia,360
18,Niue,2001,Australia,470
19,Samoa,2001,Australia,"13,960"
20,Samoa American,2001,Australia,140
21,Tokelau,2001,Australia,290
22,Tonga,2001,Australia,"8,350"
23,Tuvalu,2001,Australia,110
24,Wallis/Futuna,2001,Australia,20
25,Pitcairn Is,2001,Australia,0
26,"Polynesia, nec",2001,Australia,90
27,Adelie Land,2001,Australia,0
28,Argentinian A T,2001,Australia,0
29,Australian A T,2001,Australia,0
30,British A T,2001,Australia,0
31,Chilean A T,2001,Australia,0
32,Queen Maud Land,2001,Australia,0
33,Ross Dependency,2001,Australia,0
34,England,2001,Australia,"927,630"
35,Isle of Man,2001,Australia,690
36,N'thern Ireland,2001,Australia,"21,950"
37,Scotland,2001,Australia,"141,850"
38,Wales,2001,Australia,"30,770"
39,Guernsey,2001,Australia,580
40,Jersey,2001,Australia,"1,000"
41,Ireland,2001,Australia,"53,650"
42,Austria,2001,Australia,"21,330"
43,Belgium,2001,Australia,"5,380"
44,France,2001,Australia,"18,400"
45,Germany,2001,Australia,"118,340"
46,Liechtenstein,2001,Australia,20
47,Luxembourg,2001,Australia,150
48,Monaco,2001,Australia,40
49,Netherlands,2001,Australia,"91,900"
50,Switzerland,2001,Australia,"12,250"
51,Denmark,2001,Australia,"10,030"
52,Faroe Islands,2001,Australia,40
53,Finland,2001,Australia,"9,360"
54,Greenland,2001,Australia,30
55,Iceland,2001,Australia,590
56,Norway,2001,Australia,"4,230"
57,Sweden,2001,Australia,"7,300"
58,Aland Islands,2001,Australia,0
59,Andorra,2001,Australia,20
60,Gibraltar,2001,Australia,470
61,Holy See,2001,Australia,0
62,Italy,2001,Australia,"229,850"
63,Malta,2001,Australia,"51,810"
64,Portugal,2001,Australia,"17,780"
65,San Marino,2001,Australia,0
66,Spain,2001,Australia,"14,110"
67,Albania,2001,Australia,"1,620"
68,Bosnia/Herzegov,2001,Australia,"28,780"
69,Bulgaria,2001,Australia,"3,110"
70,Croatia,2001,Australia,"58,690"
71,Cyprus,2001,Australia,"22,720"
72,North Macedonia,2001,Australia,"49,740"
73,Greece,2001,Australia,"128,700"
74,Moldova,2001,Australia,620
75,Romania,2001,Australia,"14,380"
76,Slovenia,2001,Australia,"8,440"
77,Montenegro,2001,Australia,"5,330"
78,Serbia,2001,Australia,"52,050"
79,Kosovo,2001,Australia,0
80,Belarus,2001,Australia,"1,360"
81,Czechia,2001,Australia,"13,070"
82,Estonia,2001,Australia,"1,860"
83,Hungary,2001,Australia,"25,640"
84,Latvia,2001,Australia,"6,990"
85,Lithuania,2001,Australia,"3,630"
86,Poland,2001,Australia,"65,530"
87,Russia,2001,Australia,"16,710"
88,Slovakia,2001,Australia,"6,430"
89,Ukraine,2001,Australia,"16,660"
90,Algeria,2001,Australia,"1,240"
91,Egypt,2001,Australia,"37,420"
92,Libya,2001,Australia,"1,460"
93,Morocco,2001,Australia,"1,360"
94,Sudan,2001,Australia,"5,090"
95,Tunisia,2001,Australia,490
96,Western Sahara,2001,Australia,0
97,Sp North Africa,2001,Australia,0
98,South Sudan,2001,Australia,0
99,Bahrain,2001,Australia,760
100,Gaza Str/W Bank,2001,Australia,"3,120"
101,Iran,2001,Australia,"22,250"
102,Iraq,2001,Australia,"28,480"
103,Israel,2001,Australia,"7,510"
104,Jordan,2001,Australia,"3,620"
105,Kuwait,2001,Australia,"2,630"
106,Lebanon,2001,Australia,"79,850"
107,Oman,2001,Australia,410
108,Qatar,2001,Australia,270
109,Saudi Arabia,2001,Australia,"1,620"
110,Syria,2001,Australia,"7,610"
111,Turkey,2001,Australia,"34,230"
112,Unit Arab Emir,2001,Australia,"1,540"
113,Yemen,2001,Australia,400
114,Myanmar,2001,Australia,"12,190"
115,Cambodia,2001,Australia,"25,100"
116,Laos,2001,Australia,"10,350"
117,Thailand,2001,Australia,"24,430"
118,Vietnam,2001,Australia,"163,490"
119,Brunei,2001,Australia,"2,150"
120,Indonesia,2001,Australia,"53,090"
121,Malaysia,2001,Australia,"86,400"
122,Philippines,2001,Australia,"114,260"
123,Singapore,2001,Australia,"35,670"
124,Timor-Leste,2001,Australia,"10,420"
125,China,2001,Australia,"153,360"
126,Hong Kong,2001,Australia,"73,920"
127,Macau,2001,Australia,"1,960"
128,Mongolia,2001,Australia,130
129,Taiwan,2001,Australia,"24,140"
130,Japan,2001,Australia,"25,690"
131,"Korea, North",2001,Australia,410
132,"Korea, South",2001,Australia,"38,980"
133,Bangladesh,2001,Australia,"9,790"
134,Bhutan,2001,Australia,70
135,India,2001,Australia,"98,070"
136,Maldives,2001,Australia,170
137,Nepal,2001,Australia,"2,440"
138,Pakistan,2001,Australia,"12,290"
139,Sri Lanka,2001,Australia,"60,640"
140,Afghanistan,2001,Australia,"13,860"
141,Armenia,2001,Australia,980
142,Azerbaijan,2001,Australia,200
143,Georgia,2001,Australia,360
144,Kazakhstan,2001,Australia,480
145,Kyrgyzstan,2001,Australia,110
146,Tajikistan,2001,Australia,50
147,Turkmenistan,2001,Australia,40
148,Uzbekistan,2001,Australia,530
149,Bermuda,2001,Australia,420
150,Canada,2001,Australia,"31,020"
151,St Pierre/Mique,2001,Australia,0
152,USA,2001,Australia,"60,780"
153,Argentina,2001,Australia,"12,030"
154,Bolivia,2001,Australia,700
155,Brazil,2001,Australia,"5,120"
156,Chile,2001,Australia,"25,920"
157,Colombia,2001,Australia,"4,510"
158,Ecuador,2001,Australia,"1,460"
159,Falkland Is,2001,Australia,130
160,French Guiana,2001,Australia,10
161,Guyana,2001,Australia,530
162,Paraguay,2001,Australia,360
163,Peru,2001,Australia,"5,940"
164,Suriname,2001,Australia,80
165,Uruguay,2001,Australia,"10,490"
166,Venezuela,2001,Australia,"1,260"
167,"S America, nec",2001,Australia,0
168,Belize,2001,Australia,50
169,Costa Rica,2001,Australia,350
170,El Salvador,2001,Australia,"10,570"
171,Guatemala,2001,Australia,310
172,Honduras,2001,Australia,190
173,Mexico,2001,Australia,"1,320"
174,Nicaragua,2001,Australia,780
175,Panama,2001,Australia,140
176,Anguilla,2001,Australia,0
177,Antigua/Barbuda,2001,Australia,30
178,Aruba,2001,Australia,50
179,Bahamas,2001,Australia,240
180,Barbados,2001,Australia,350
181,Cayman Islands,2001,Australia,20
182,Cuba,2001,Australia,510
183,Dominica,2001,Australia,10
184,Dominican Rep,2001,Australia,70
185,Grenada,2001,Australia,120
186,Guadeloupe,2001,Australia,10
187,Haiti,2001,Australia,90
188,Jamaica,2001,Australia,930
189,Martinique,2001,Australia,30
190,Montserrat,2001,Australia,10
191,Puerto Rico,2001,Australia,140
192,St Kitts/Nevis,2001,Australia,30
193,St Lucia,2001,Australia,30
194,St Vinc/Grenad,2001,Australia,80
195,Trinidad/Tobago,2001,Australia,"1,440"
196,Turks/Caicos Is,2001,Australia,0
197,"Virgin Is, Brit",2001,Australia,10
198,"Virgin Is, US",2001,Australia,10
199,St Barthelemy,2001,Australia,0
200,St Martin (Fr),2001,Australia,0
201,Bonaire/SE/Saba,2001,Australia,0
202,Curacao,2001,Australia,90
203,Sint Maarten Dp,2001,Australia,0
204,Benin,2001,Australia,20
205,Burkina Faso,2001,Australia,20
206,Cameroon,2001,Australia,70
207,Cabo Verde,2001,Australia,30
208,Cent Africa Rep,2001,Australia,0
209,Chad,2001,Australia,40
210,"Congo, Rep",2001,Australia,170
211,"Congo, Dem Rep",2001,Australia,280
212,Cote d'Ivoire,2001,Australia,70
213,Equator Guinea,2001,Australia,0
214,Gabon,2001,Australia,20
215,Gambia,2001,Australia,40
216,Ghana,2001,Australia,"2,250"
217,Guinea,2001,Australia,30
218,Guinea-Bissau,2001,Australia,20
219,Liberia,2001,Australia,120
220,Mali,2001,Australia,30
221,Mauritania,2001,Australia,20
222,Niger,2001,Australia,10
223,Nigeria,2001,Australia,"1,950"
224,Sao Tome/Princ,2001,Australia,20
225,Senegal,2001,Australia,240
226,Sierra Leone,2001,Australia,370
227,Togo,2001,Australia,20
228,Angola,2001,Australia,410
229,Botswana,2001,Australia,750
230,Burundi,2001,Australia,30
231,Comoros,2001,Australia,20
232,Djibouti,2001,Australia,80
233,Eritrea,2001,Australia,"1,790"
234,Ethiopia,2001,Australia,"3,820"
235,Kenya,2001,Australia,"7,640"
236,Lesotho,2001,Australia,60
237,Madagascar,2001,Australia,180
238,Malawi,2001,Australia,540
239,Mauritius,2001,Australia,"18,580"
240,Mayotte,2001,Australia,0
241,Mozambique,2001,Australia,640
242,Namibia,2001,Australia,470
243,Reunion,2001,Australia,80
244,Rwanda,2001,Australia,50
245,St Helena,2001,Australia,30
246,Seychelles,2001,Australia,"2,720"
247,Somalia,2001,Australia,"3,770"
248,South Africa,2001,Australia,"86,820"
249,Eswatini,2001,Australia,230
250,Tanzania,2001,Australia,"1,950"
251,Uganda,2001,Australia,"1,390"
252,Zambia,2001,Australia,"3,510"
253,Zimbabwe,2001,Australia,"13,210"
254,"S & E Afr, nec",2001,Australia,20
255,Inadequately described,2001,Australia,0
256,Australia,2001,New South Wales,"4,913,390"
257,Norfolk Island,2001,New South Wales,90
258,"Aust E T, nec",2001,New South Wales,0
259,New Zealand,2001,New South Wales,"117,960"
260,New Caledonia,2001,New South Wales,510
261,PNG,2001,New South Wales,"6,080"
262,Solomon Islands,2001,New South Wales,510
263,Vanuatu,2001,New South Wales,480
264,Guam,2001,New South Wales,20
265,Kiribati,2001,New South Wales,110
266,Marshall Is,2001,New South Wales,10
267,"Micronesia, F S",2001,New South Wales,0
268,Nauru,2001,New South Wales,70
269,N Mariana Is,2001,New South Wales,0
270,Palau,2001,New South Wales,10
271,Cook Islands,2001,New South Wales,"2,190"
272,Fiji,2001,New South Wales,"30,300"
273,French Poly,2001,New South Wales,140
274,Niue,2001,New South Wales,220
275,Samoa,2001,New South Wales,"6,820"
276,Samoa American,2001,New South Wales,50
277,Tokelau,2001,New South Wales,160
278,Tonga,2001,New South Wales,"5,550"
279,Tuvalu,2001,New South Wales,30
280,Wallis/Futuna,2001,New South Wales,10
281,Pitcairn Is,2001,New South Wales,0
282,"Polynesia, nec",2001,New South Wales,30
283,Adelie Land,2001,New South Wales,0
284,Argentinian A T,2001,New South Wales,0
285,Australian A T,2001,New South Wales,0
286,British A T,2001,New South Wales,0
287,Chilean A T,2001,New South Wales,0
288,Queen Maud Land,2001,New South Wales,0
289,Ross Dependency,2001,New South Wales,0
290,England,2001,New South Wales,"248,440"
291,Isle of Man,2001,New South Wales,160
292,N'thern Ireland,2001,New South Wales,"5,960"
293,Scotland,2001,New South Wales,"38,750"
294,Wales,2001,New South Wales,"8,800"
295,Guernsey,2001,New South Wales,140
296,Jersey,2001,New South Wales,240
297,Ireland,2001,New South Wales,"19,080"
298,Austria,2001,New South Wales,"7,410"
299,Belgium,2001,New South Wales,"1,670"
300,France,2001,New South Wales,"6,920"
301,Germany,2001,New South Wales,"35,010"
302,Liechtenstein,2001,New South Wales,0
303,Luxembourg,2001,New South Wales,40
304,Monaco,2001,New South Wales,10
305,Netherlands,2001,New South Wales,"22,570"
306,Switzerland,2001,New South Wales,"4,090"
307,Denmark,2001,New South Wales,"3,210"
308,Faroe Islands,2001,New South Wales,10
309,Finland,2001,New South Wales,"2,810"
310,Greenland,2001,New South Wales,10
311,Iceland,2001,New South Wales,200
312,Norway,2001,New South Wales,"1,340"
313,Sweden,2001,New South Wales,"2,510"
314,Aland Islands,2001,New South Wales,0
315,Andorra,2001,New South Wales,0
316,Gibraltar,2001,New South Wales,120
317,Holy See,2001,New South Wales,0
318,Italy,2001,New South Wales,"64,610"
319,Malta,2001,New South Wales,"20,540"
320,Portugal,2001,New South Wales,"10,030"
321,San Marino,2001,New South Wales,0
322,Spain,2001,New South Wales,"6,040"
323,Albania,2001,New South Wales,180
324,Bosnia/Herzegov,2001,New South Wales,"8,640"
325,Bulgaria,2001,New South Wales,"1,050"
326,Croatia,2001,New South Wales,"21,180"
327,Cyprus,2001,New South Wales,"8,600"
328,North Macedonia,2001,New South Wales,"22,030"
329,Greece,2001,New South Wales,"41,990"
330,Moldova,2001,New South Wales,150
331,Romania,2001,New South Wales,"4,070"
332,Slovenia,2001,New South Wales,"2,890"
333,Montenegro,2001,New South Wales,"1,940"
334,Serbia,2001,New South Wales,"18,930"
335,Kosovo,2001,New South Wales,0
336,Belarus,2001,New South Wales,350
337,Czechia,2001,New South Wales,"5,080"
338,Estonia,2001,New South Wales,800
339,Hungary,2001,New South Wales,"9,930"
340,Latvia,2001,New South Wales,"2,050"
341,Lithuania,2001,New South Wales,"1,100"
342,Poland,2001,New South Wales,"19,220"
343,Russia,2001,New South Wales,"6,520"
344,Slovakia,2001,New South Wales,"2,780"
345,Ukraine,2001,New South Wales,"6,000"
346,Algeria,2001,New South Wales,570
347,Egypt,2001,New South Wales,"19,540"
348,Libya,2001,New South Wales,370
349,Morocco,2001,New South Wales,520
350,Sudan,2001,New South Wales,"2,670"
351,Tunisia,2001,New South Wales,220
352,Western Sahara,2001,New South Wales,0
353,Sp North Africa,2001,New South Wales,0
354,South Sudan,2001,New South Wales,0
355,Bahrain,2001,New South Wales,280
356,Gaza Str/W Bank,2001,New South Wales,"1,650"
357,Iran,2001,New South Wales,"12,370"
358,Iraq,2001,New South Wales,"18,080"
359,Israel,2001,New South Wales,"3,040"
360,Jordan,2001,New South Wales,"2,560"
361,Kuwait,2001,New South Wales,"1,440"
362,Lebanon,2001,New South Wales,"59,810"
363,Oman,2001,New South Wales,100
364,Qatar,2001,New South Wales,130
365,Saudi Arabia,2001,New South Wales,680
366,Syria,2001,New South Wales,"4,800"
367,Turkey,2001,New South Wales,"14,150"
368,Unit Arab Emir,2001,New South Wales,580
369,Yemen,2001,New South Wales,130
370,Myanmar,2001,New South Wales,"3,590"
371,Cambodia,2001,New South Wales,"10,720"
372,Laos,2001,New South Wales,"5,740"
373,Thailand,2001,New South Wales,"10,170"
374,Vietnam,2001,New South Wales,"67,080"
375,Brunei,2001,New South Wales,310
376,Indonesia,2001,New South Wales,"23,650"
377,Malaysia,2001,New South Wales,"23,440"
378,Philippines,2001,New South Wales,"57,850"
379,Singapore,2001,New South Wales,"9,170"
380,Timor-Leste,2001,New South Wales,"2,650"
381,China,2001,New South Wales,"92,420"
382,Hong Kong,2001,New South Wales,"41,900"
383,Macau,2001,New South Wales,"1,080"
384,Mongolia,2001,New South Wales,60
385,Taiwan,2001,New South Wales,"8,640"
386,Japan,2001,New South Wales,"10,380"
387,"Korea, North",2001,New South Wales,290
388,"Korea, South",2001,New South Wales,"28,120"
389,Bangladesh,2001,New South Wales,"6,600"
390,Bhutan,2001,New South Wales,30
391,India,2001,New South Wales,"39,260"
392,Maldives,2001,New South Wales,40
393,Nepal,2001,New South Wales,"1,640"
394,Pakistan,2001,New South Wales,"6,880"
395,Sri Lanka,2001,New South Wales,"19,430"
396,Afghanistan,2001,New South Wales,"5,740"
397,Armenia,2001,New South Wales,550
398,Azerbaijan,2001,New South Wales,60
399,Georgia,2001,New South Wales,140
400,Kazakhstan,2001,New South Wales,140
401,Kyrgyzstan,2001,New South Wales,30
402,Tajikistan,2001,New South Wales,10
403,Turkmenistan,2001,New South Wales,20
404,Uzbekistan,2001,New South Wales,200
405,Bermuda,2001,New South Wales,110
406,Canada,2001,New South Wales,"10,690"
407,St Pierre/Mique,2001,New South Wales,0
408,USA,2001,New South Wales,"22,060"
409,Argentina,2001,New South Wales,"6,170"
410,Bolivia,2001,New South Wales,500
411,Brazil,2001,New South Wales,"2,740"
412,Chile,2001,New South Wales,"14,070"
413,Colombia,2001,New South Wales,"2,550"
414,Ecuador,2001,New South Wales,"1,200"
415,Falkland Is,2001,New South Wales,40
416,French Guiana,2001,New South Wales,0
417,Guyana,2001,New South Wales,160
418,Paraguay,2001,New South Wales,210
419,Peru,2001,New South Wales,"4,170"
420,Suriname,2001,New South Wales,20
421,Uruguay,2001,New South Wales,"7,740"
422,Venezuela,2001,New South Wales,620
423,"S America, nec",2001,New South Wales,0
424,Belize,2001,New South Wales,20
425,Costa Rica,2001,New South Wales,180
426,El Salvador,2001,New South Wales,"2,100"
427,Guatemala,2001,New South Wales,80
428,Honduras,2001,New South Wales,80
429,Mexico,2001,New South Wales,620
430,Nicaragua,2001,New South Wales,470
431,Panama,2001,New South Wales,70
432,Anguilla,2001,New South Wales,0
433,Antigua/Barbuda,2001,New South Wales,10
434,Aruba,2001,New South Wales,20
435,Bahamas,2001,New South Wales,60
436,Barbados,2001,New South Wales,70
