,birth_country,year,destination,population
3650,Bosnia/Herzegov,2001,Western Australia,3170
3651,Bulgaria,2001,Western Australia,240
3652,Croatia,2001,Western Australia,5980
3653,Cyprus,2001,Western Australia,450
3654,North Macedonia,2001,Western Australia,3810
3655,Greece,2001,Western Australia,3450
3656,Moldova,2001,Western Australia,10
3657,Romania,2001,Western Australia,1490
3658,Slovenia,2001,Western Australia,400
3659,Montenegro,2001,Western Australia,450
3660,Serbia,2001,Western Australia,4390
3661,Kosovo,2001,Western Australia,0
3662,Belarus,2001,Western Australia,30
3663,Czechia,2001,Western Australia,1000
3664,Estonia,2001,Western Australia,130
3665,Hungary,2001,Western Australia,1480
3666,Latvia,2001,Western Australia,560
3667,Lithuania,2001,Western Australia,260
3668,Poland,2001,Western Australia,7350
3669,Russia,2001,Western Australia,780
3670,Slovakia,2001,Western Australia,460
3671,Ukraine,2001,Western Australia,740
3672,Algeria,2001,Western Australia,130
3673,Egypt,2001,Western Australia,1770
3674,Libya,2001,Western Australia,100
3675,Morocco,2001,Western Australia,120
3676,Sudan,2001,Western Australia,450
3677,Tunisia,2001,Western Australia,30
3678,Western Sahara,2001,Western Australia,0
3679,Sp North Africa,2001,Western Australia,0
3680,South Sudan,2001,Western Australia,0
3681,Bahrain,2001,Western Australia,100
3682,Gaza Str/W Bank,2001,Western Australia,180
3683,Iran,2001,Western Australia,2320
3684,Iraq,2001,Western Australia,1750
3685,Israel,2001,Western Australia,610
3686,Jordan,2001,Western Australia,270
3687,Kuwait,2001,Western Australia,240
3688,Lebanon,2001,Western Australia,950
3689,Oman,2001,Western Australia,70
3690,Qatar,2001,Western Australia,50
3691,Saudi Arabia,2001,Western Australia,210
3692,Syria,2001,Western Australia,280
3693,Turkey,2001,Western Australia,850
3694,Unit Arab Emir,2001,Western Australia,230
3695,Yemen,2001,Western Australia,70
3696,Myanmar,2001,Western Australia,6150
3697,Cambodia,2001,Western Australia,730
3698,Laos,2001,Western Australia,160
3699,Thailand,2001,Western Australia,2710
3700,Vietnam,2001,Western Australia,10780
3701,Brunei,2001,Western Australia,980
3702,Indonesia,2001,Western Australia,9180
3703,Malaysia,2001,Western Australia,19390
3704,Philippines,2001,Western Australia,5970
3705,Singapore,2001,Western Australia,11070
3706,Timor-Leste,2001,Western Australia,390
3707,China,2001,Western Australia,5710
3708,Hong Kong,2001,Western Australia,3940
3709,Macau,2001,Western Australia,100
3710,Mongolia,2001,Western Australia,10
3711,Taiwan,2001,Western Australia,970
3712,Japan,2001,Western Australia,2340
3713,"Korea, North",2001,Western Australia,20
3714,"Korea, South",2001,Western Australia,1420
3715,Bangladesh,2001,Western Australia,500
3716,Bhutan,2001,Western Australia,10
3717,India,2001,Western Australia,13550
3718,Maldives,2001,Western Australia,20
3719,Nepal,2001,Western Australia,90
3720,Pakistan,2001,Western Australia,1000
3721,Sri Lanka,2001,Western Australia,3410
3722,Afghanistan,2001,Western Australia,2050
3723,Armenia,2001,Western Australia,10
3724,Azerbaijan,2001,Western Australia,10
3725,Georgia,2001,Western Australia,10
3726,Kazakhstan,2001,Western Australia,40
3727,Kyrgyzstan,2001,Western Australia,10
3728,Tajikistan,2001,Western Australia,10
3729,Turkmenistan,2001,Western Australia,0
3730,Uzbekistan,2001,Western Australia,30
3731,Bermuda,2001,Western Australia,110
3732,Canada,2001,Western Australia,4000
3733,St Pierre/Mique,2001,Western Australia,0
3734,USA,2001,Western Australia,6890
3735,Argentina,2001,Western Australia,540
3736,Bolivia,2001,Western Australia,20
3737,Brazil,2001,Western Australia,430
3738,Chile,2001,Western Australia,1370
3739,Colombia,2001,Western Australia,220
3740,Ecuador,2001,Western Australia,40
3741,Falkland Is,2001,Western Australia,10
3742,French Guiana,2001,Western Australia,0
3743,Guyana,2001,Western Australia,60
3744,Paraguay,2001,Western Australia,20
3745,Peru,2001,Western Australia,250
3746,Suriname,2001,Western Australia,10
3747,Uruguay,2001,Western Australia,180
3748,Venezuela,2001,Western Australia,110
3749,"S America, nec",2001,Western Australia,0
3750,Belize,2001,Western Australia,10
3751,Costa Rica,2001,Western Australia,40
3752,El Salvador,2001,Western Australia,1280
3753,Guatemala,2001,Western Australia,30
3754,Honduras,2001,Western Australia,20
3755,Mexico,2001,Western Australia,90
3756,Nicaragua,2001,Western Australia,40
3757,Panama,2001,Western Australia,20
3758,Anguilla,2001,Western Australia,0
3759,Antigua/Barbuda,2001,Western Australia,10
3760,Aruba,2001,Western Australia,10
3761,Bahamas,2001,Western Australia,90
3762,Barbados,2001,Western Australia,40
3763,Cayman Islands,2001,Western Australia,10
3764,Cuba,2001,Western Australia,20
3765,Dominica,2001,Western Australia,0
3766,Dominican Rep,2001,Western Australia,0
3767,Grenada,2001,Western Australia,10
3768,Guadeloupe,2001,Western Australia,0
3769,Haiti,2001,Western Australia,10
3770,Jamaica,2001,Western Australia,150
3771,Martinique,2001,Western Australia,0
3772,Montserrat,2001,Western Australia,0
3773,Puerto Rico,2001,Western Australia,20
3774,St Kitts/Nevis,2001,Western Australia,0
3775,St Lucia,2001,Western Australia,0
3776,St Vinc/Grenad,2001,Western Australia,10
3777,Trinidad/Tobago,2001,Western Australia,430
3778,Turks/Caicos Is,2001,Western Australia,0
3779,"Virgin Is, Brit",2001,Western Australia,0
3780,"Virgin Is, US",2001,Western Australia,0
3781,St Barthelemy,2001,Western Australia,0
3782,St Martin (Fr),2001,Western Australia,0
3783,Bonaire/SE/Saba,2001,Western Australia,0
3784,Curacao,2001,Western Australia,10
3785,Sint Maarten Dp,2001,Western Australia,0
3786,Benin,2001,Western Australia,0
3787,Burkina Faso,2001,Western Australia,0
3788,Cameroon,2001,Western Australia,10
3789,Cabo Verde,2001,Western Australia,10
3790,Cent Africa Rep,2001,Western Australia,0
3791,Chad,2001,Western Australia,10
3792,"Congo, Rep",2001,Western Australia,30
3793,"Congo, Dem Rep",2001,Western Australia,50
3794,Cote d'Ivoire,2001,Western Australia,10
3795,Equator Guinea,2001,Western Australia,0
3796,Gabon,2001,Western Australia,0
3797,Gambia,2001,Western Australia,0
3798,Ghana,2001,Western Australia,130
3799,Guinea,2001,Western Australia,0
3800,Guinea-Bissau,2001,Western Australia,0
3801,Liberia,2001,Western Australia,20
3802,Mali,2001,Western Australia,0
3803,Mauritania,2001,Western Australia,0
3804,Niger,2001,Western Australia,0
3805,Nigeria,2001,Western Australia,190
3806,Sao Tome/Princ,2001,Western Australia,10
3807,Senegal,2001,Western Australia,10
3808,Sierra Leone,2001,Western Australia,70
3809,Togo,2001,Western Australia,0
3810,Angola,2001,Western Australia,60
3811,Botswana,2001,Western Australia,140
3812,Burundi,2001,Western Australia,10
3813,Comoros,2001,Western Australia,0
3814,Djibouti,2001,Western Australia,10
3815,Eritrea,2001,Western Australia,260
3816,Ethiopia,2001,Western Australia,450
3817,Kenya,2001,Western Australia,2450
3818,Lesotho,2001,Western Australia,10
3819,Madagascar,2001,Western Australia,20
3820,Malawi,2001,Western Australia,110
3821,Mauritius,2001,Western Australia,2390
3822,Mayotte,2001,Western Australia,0
3823,Mozambique,2001,Western Australia,170
3824,Namibia,2001,Western Australia,130
3825,Reunion,2001,Western Australia,10
3826,Rwanda,2001,Western Australia,20
3827,St Helena,2001,Western Australia,10
3828,Seychelles,2001,Western Australia,750
3829,Somalia,2001,Western Australia,490
3830,South Africa,2001,Western Australia,16990
3831,Eswatini,2001,Western Australia,70
3832,Tanzania,2001,Western Australia,400
3833,Uganda,2001,Western Australia,300
3834,Zambia,2001,Western Australia,1110
3835,Zimbabwe,2001,Western Australia,4460
3836,"S & E Afr, nec",2001,Western Australia,0
3837,Inadequately described,2001,Western Australia,0
3839,Norfolk Island,2001,Tasmania,0
3840,"Aust E T, nec",2001,Tasmania,0
3841,New Zealand,2001,Tasmania,4010
3842,New Caledonia,2001,Tasmania,10
3843,PNG,2001,Tasmania,280
3844,Solomon Islands,2001,Tasmania,10
3845,Vanuatu,2001,Tasmania,10
3846,Guam,2001,Tasmania,0
3847,Kiribati,2001,Tasmania,10
3848,Marshall Is,2001,Tasmania,0
3849,"Micronesia, F S",2001,Tasmania,0
3850,Nauru,2001,Tasmania,10
3851,N Mariana Is,2001,Tasmania,0
3852,Palau,2001,Tasmania,0
3853,Cook Islands,2001,Tasmania,20
3854,Fiji,2001,Tasmania,290
3855,French Poly,2001,Tasmania,0
3856,Niue,2001,Tasmania,0
3857,Samoa,2001,Tasmania,30
3858,Samoa American,2001,Tasmania,0
3859,Tokelau,2001,Tasmania,0
3860,Tonga,2001,Tasmania,30
3861,Tuvalu,2001,Tasmania,0
3862,Wallis/Futuna,2001,Tasmania,0
3863,Pitcairn Is,2001,Tasmania,0
3864,"Polynesia, nec",2001,Tasmania,0
3865,Adelie Land,2001,Tasmania,0
3866,Argentinian A T,2001,Tasmania,0
3867,Australian A T,2001,Tasmania,0
3868,British A T,2001,Tasmania,0
3869,Chilean A T,2001,Tasmania,0
3870,Queen Maud Land,2001,Tasmania,0
3871,Ross Dependency,2001,Tasmania,0
3872,England,2001,Tasmania,19850
3873,Isle of Man,2001,Tasmania,20
3874,N'thern Ireland,2001,Tasmania,370
3875,Scotland,2001,Tasmania,2850
3876,Wales,2001,Tasmania,780
3877,Guernsey,2001,Tasmania,10
3878,Jersey,2001,Tasmania,20
3879,Ireland,2001,Tasmania,700
3880,Austria,2001,Tasmania,420
3881,Belgium,2001,Tasmania,80
3882,France,2001,Tasmania,190
3883,Germany,2001,Tasmania,2200
3884,Liechtenstein,2001,Tasmania,0
3885,Luxembourg,2001,Tasmania,0
3886,Monaco,2001,Tasmania,0
3887,Netherlands,2001,Tasmania,2950
3888,Switzerland,2001,Tasmania,280
3889,Denmark,2001,Tasmania,180
3890,Faroe Islands,2001,Tasmania,0
3891,Finland,2001,Tasmania,140
3892,Greenland,2001,Tasmania,0
3893,Iceland,2001,Tasmania,20
3894,Norway,2001,Tasmania,50
3895,Sweden,2001,Tasmania,90
3896,Aland Islands,2001,Tasmania,0
3897,Andorra,2001,Tasmania,0
3898,Gibraltar,2001,Tasmania,0
3899,Holy See,2001,Tasmania,0
3900,Italy,2001,Tasmania,1240
3901,Malta,2001,Tasmania,110
3902,Portugal,2001,Tasmania,20
3903,San Marino,2001,Tasmania,0
3904,Spain,2001,Tasmania,80
3905,Albania,2001,Tasmania,10
3906,Bosnia/Herzegov,2001,Tasmania,190
3907,Bulgaria,2001,Tasmania,20
3908,Croatia,2001,Tasmania,330
3909,Cyprus,2001,Tasmania,60
3910,North Macedonia,2001,Tasmania,30
3911,Greece,2001,Tasmania,680
3912,Moldova,2001,Tasmania,10
3913,Romania,2001,Tasmania,70
3914,Slovenia,2001,Tasmania,100
3915,Montenegro,2001,Tasmania,30
3916,Serbia,2001,Tasmania,320
3917,Kosovo,2001,Tasmania,0
3918,Belarus,2001,Tasmania,20
3919,Czechia,2001,Tasmania,250
3920,Estonia,2001,Tasmania,40
3921,Hungary,2001,Tasmania,310
3922,Latvia,2001,Tasmania,120
3923,Lithuania,2001,Tasmania,90
3924,Poland,2001,Tasmania,1020
3925,Russia,2001,Tasmania,110
3926,Slovakia,2001,Tasmania,70
3927,Ukraine,2001,Tasmania,130
3928,Algeria,2001,Tasmania,10
3929,Egypt,2001,Tasmania,80
3930,Libya,2001,Tasmania,0
3931,Morocco,2001,Tasmania,10
3932,Sudan,2001,Tasmania,140
3933,Tunisia,2001,Tasmania,0
3934,Western Sahara,2001,Tasmania,0
3935,Sp North Africa,2001,Tasmania,0
3936,South Sudan,2001,Tasmania,0
3937,Bahrain,2001,Tasmania,10
3938,Gaza Str/W Bank,2001,Tasmania,10
3939,Iran,2001,Tasmania,120
3940,Iraq,2001,Tasmania,40
3941,Israel,2001,Tasmania,20
3942,Jordan,2001,Tasmania,10
3943,Kuwait,2001,Tasmania,0
3944,Lebanon,2001,Tasmania,60
3945,Oman,2001,Tasmania,0
3946,Qatar,2001,Tasmania,0
3947,Saudi Arabia,2001,Tasmania,20
3948,Syria,2001,Tasmania,70
3949,Turkey,2001,Tasmania,40
3950,Unit Arab Emir,2001,Tasmania,20
3951,Yemen,2001,Tasmania,10
3952,Myanmar,2001,Tasmania,40
3953,Cambodia,2001,Tasmania,10
3954,Laos,2001,Tasmania,90
3955,Thailand,2001,Tasmania,280
3956,Vietnam,2001,Tasmania,170
3957,Brunei,2001,Tasmania,10
3958,Indonesia,2001,Tasmania,190
3959,Malaysia,2001,Tasmania,760
3960,Philippines,2001,Tasmania,860
3961,Singapore,2001,Tasmania,280
3962,Timor-Leste,2001,Tasmania,10
3963,China,2001,Tasmania,500
3964,Hong Kong,2001,Tasmania,290
3965,Macau,2001,Tasmania,10
3966,Mongolia,2001,Tasmania,0
3967,Taiwan,2001,Tasmania,60
3968,Japan,2001,Tasmania,250
3969,"Korea, North",2001,Tasmania,0
3970,"Korea, South",2001,Tasmania,320
3971,Bangladesh,2001,Tasmania,40
3972,Bhutan,2001,Tasmania,0
3973,India,2001,Tasmania,590
3974,Maldives,2001,Tasmania,0
3975,Nepal,2001,Tasmania,20
3976,Pakistan,2001,Tasmania,30
3977,Sri Lanka,2001,Tasmania,210
3978,Afghanistan,2001,Tasmania,20
3979,Armenia,2001,Tasmania,0
3980,Azerbaijan,2001,Tasmania,0
3981,Georgia,2001,Tasmania,10
3982,Kazakhstan,2001,Tasmania,0
3983,Kyrgyzstan,2001,Tasmania,0
3984,Tajikistan,2001,Tasmania,0
3985,Turkmenistan,2001,Tasmania,0
3986,Uzbekistan,2001,Tasmania,10
3987,Bermuda,2001,Tasmania,10
3988,Canada,2001,Tasmania,630
3989,St Pierre/Mique,2001,Tasmania,0
3990,USA,2001,Tasmania,1100
3991,Argentina,2001,Tasmania,40
3992,Bolivia,2001,Tasmania,10
3993,Brazil,2001,Tasmania,50
3994,Chile,2001,Tasmania,160
3995,Colombia,2001,Tasmania,20
3996,Ecuador,2001,Tasmania,0
3997,Falkland Is,2001,Tasmania,10
3998,French Guiana,2001,Tasmania,0
3999,Guyana,2001,Tasmania,10
4000,Paraguay,2001,Tasmania,0
4001,Peru,2001,Tasmania,30
4002,Suriname,2001,Tasmania,0
4003,Uruguay,2001,Tasmania,20
4004,Venezuela,2001,Tasmania,10
4005,"S America, nec",2001,Tasmania,0
4006,Belize,2001,Tasmania,0
4007,Costa Rica,2001,Tasmania,0
4008,El Salvador,2001,Tasmania,260
4009,Guatemala,2001,Tasmania,0
4010,Honduras,2001,Tasmania,0
4011,Mexico,2001,Tasmania,10
4012,Nicaragua,2001,Tasmania,0
4013,Panama,2001,Tasmania,0
4014,Anguilla,2001,Tasmania,0
4015,Antigua/Barbuda,2001,Tasmania,0
4016,Aruba,2001,Tasmania,0
4017,Bahamas,2001,Tasmania,0
4018,Barbados,2001,Tasmania,0
4019,Cayman Islands,2001,Tasmania,0
4020,Cuba,2001,Tasmania,0
4021,Dominica,2001,Tasmania,0
4022,Dominican Rep,2001,Tasmania,0
4023,Grenada,2001,Tasmania,0
4024,Guadeloupe,2001,Tasmania,0
4025,Haiti,2001,Tasmania,0
4026,Jamaica,2001,Tasmania,10
4027,Martinique,2001,Tasmania,0
4028,Montserrat,2001,Tasmania,0
4029,Puerto Rico,2001,Tasmania,0
4030,St Kitts/Nevis,2001,Tasmania,0
4031,St Lucia,2001,Tasmania,0
4032,St Vinc/Grenad,2001,Tasmania,0
4033,Trinidad/Tobago,2001,Tasmania,10
4034,Turks/Caicos Is,2001,Tasmania,0
4035,"Virgin Is, Brit",2001,Tasmania,0
4036,"Virgin Is, US",2001,Tasmania,0
4037,St Barthelemy,2001,Tasmania,0
4038,St Martin (Fr),2001,Tasmania,0
4039,Bonaire/SE/Saba,2001,Tasmania,0
4040,Curacao,2001,Tasmania,0
4041,Sint Maarten Dp,2001,Tasmania,0
4042,Benin,2001,Tasmania,0
4043,Burkina Faso,2001,Tasmania,0
4044,Cameroon,2001,Tasmania,0
4045,Cabo Verde,2001,Tasmania,0
4046,Cent Africa Rep,2001,Tasmania,0
4047,Chad,2001,Tasmania,0
4048,"Congo, Rep",2001,Tasmania,0
4049,"Congo, Dem Rep",2001,Tasmania,10
4050,Cote d'Ivoire,2001,Tasmania,0
4051,Equator Guinea,2001,Tasmania,0
4052,Gabon,2001,Tasmania,0
4053,Gambia,2001,Tasmania,0
4054,Ghana,2001,Tasmania,10
4055,Guinea,2001,Tasmania,0
4056,Guinea-Bissau,2001,Tasmania,0
4057,Liberia,2001,Tasmania,0
4058,Mali,2001,Tasmania,0
4059,Mauritania,2001,Tasmania,0
4060,Niger,2001,Tasmania,0
4061,Nigeria,2001,Tasmania,50
4062,Sao Tome/Princ,2001,Tasmania,0
4063,Senegal,2001,Tasmania,0
4064,Sierra Leone,2001,Tasmania,10
4065,Togo,2001,Tasmania,0
4066,Angola,2001,Tasmania,0
4067,Botswana,2001,Tasmania,10
4068,Burundi,2001,Tasmania,0
4069,Comoros,2001,Tasmania,0
4070,Djibouti,2001,Tasmania,0
4071,Eritrea,2001,Tasmania,0
4072,Ethiopia,2001,Tasmania,40
4073,Kenya,2001,Tasmania,110
4074,Lesotho,2001,Tasmania,0
4075,Madagascar,2001,Tasmania,0
4076,Malawi,2001,Tasmania,10
4077,Mauritius,2001,Tasmania,30
4078,Mayotte,2001,Tasmania,0
4079,Mozambique,2001,Tasmania,0
4080,Namibia,2001,Tasmania,10
4081,Reunion,2001,Tasmania,0
4082,Rwanda,2001,Tasmania,0
4083,St Helena,2001,Tasmania,0
4084,Seychelles,2001,Tasmania,10
4085,Somalia,2001,Tasmania,10
4086,South Africa,2001,Tasmania,1090
4087,Eswatini,2001,Tasmania,0
4088,Tanzania,2001,Tasmania,30
4089,Uganda,2001,Tasmania,30
4090,Zambia,2001,Tasmania,70
4091,Zimbabwe,2001,Tasmania,170
4092,"S & E Afr, nec",2001,Tasmania,0
4093,Inadequately described,2001,Tasmania,0
4095,Norfolk Island,2001,Northern Territory,0
4096,"Aust E T, nec",2001,Northern Territory,0
4097,New Zealand,2001,Northern Territory,4110
4098,New Caledonia,2001,Northern Territory,10
4099,PNG,2001,Northern Territory,750
4100,Solomon Islands,2001,Northern Territory,50
4101,Vanuatu,2001,Northern Territory,10
4102,Guam,2001,Northern Territory,0
4103,Kiribati,2001,Northern Territory,20
4104,Marshall Is,2001,Northern Territory,0
4105,"Micronesia, F S",2001,Northern Territory,0
4106,Nauru,2001,Northern Territory,10
4107,N Mariana Is,2001,Northern Territory,0
4108,Palau,2001,Northern Territory,0
4109,Cook Islands,2001,Northern Territory,10
4110,Fiji,2001,Northern Territory,200
4111,French Poly,2001,Northern Territory,10
4112,Niue,2001,Northern Territory,0
4113,Samoa,2001,Northern Territory,20
4114,Samoa American,2001,Northern Territory,0
4115,Tokelau,2001,Northern Territory,0
4116,Tonga,2001,Northern Territory,70
4117,Tuvalu,2001,Northern Territory,0
4118,Wallis/Futuna,2001,Northern Territory,0
4119,Pitcairn Is,2001,Northern Territory,0
4120,"Polynesia, nec",2001,Northern Territory,0
4121,Adelie Land,2001,Northern Territory,0
4122,Argentinian A T,2001,Northern Territory,0
4123,Australian A T,2001,Northern Territory,0
4124,British A T,2001,Northern Territory,0
4125,Chilean A T,2001,Northern Territory,0
4126,Queen Maud Land,2001,Northern Territory,0
4127,Ross Dependency,2001,Northern Territory,0
4128,England,2001,Northern Territory,6620
4129,Isle of Man,2001,Northern Territory,10
4130,N'thern Ireland,2001,Northern Territory,140
4131,Scotland,2001,Northern Territory,1000
4132,Wales,2001,Northern Territory,230
4133,Guernsey,2001,Northern Territory,0
4134,Jersey,2001,Northern Territory,10
4135,Ireland,2001,Northern Territory,400
4136,Austria,2001,Northern Territory,190
4137,Belgium,2001,Northern Territory,60
4138,France,2001,Northern Territory,220
4139,Germany,2001,Northern Territory,1200
4140,Liechtenstein,2001,Northern Territory,0
4141,Luxembourg,2001,Northern Territory,0
4142,Monaco,2001,Northern Territory,0
4143,Netherlands,2001,Northern Territory,690
4144,Switzerland,2001,Northern Territory,240
4145,Denmark,2001,Northern Territory,180
4146,Faroe Islands,2001,Northern Territory,0
4147,Finland,2001,Northern Territory,130
4148,Greenland,2001,Northern Territory,0
4149,Iceland,2001,Northern Territory,10
4150,Norway,2001,Northern Territory,50
4151,Sweden,2001,Northern Territory,100
4152,Aland Islands,2001,Northern Territory,0
4153,Andorra,2001,Northern Territory,0
4154,Gibraltar,2001,Northern Territory,10
4155,Holy See,2001,Northern Territory,0
4156,Italy,2001,Northern Territory,630
4157,Malta,2001,Northern Territory,60
4158,Portugal,2001,Northern Territory,210
4159,San Marino,2001,Northern Territory,0
4160,Spain,2001,Northern Territory,100
4161,Albania,2001,Northern Territory,0
4162,Bosnia/Herzegov,2001,Northern Territory,60
4163,Bulgaria,2001,Northern Territory,10
4164,Croatia,2001,Northern Territory,80
4165,Cyprus,2001,Northern Territory,210
4166,North Macedonia,2001,Northern Territory,20
4167,Greece,2001,Northern Territory,1350
4168,Moldova,2001,Northern Territory,0
4169,Romania,2001,Northern Territory,30
4170,Slovenia,2001,Northern Territory,40
4171,Montenegro,2001,Northern Territory,10
4172,Serbia,2001,Northern Territory,120
4173,Kosovo,2001,Northern Territory,0
4174,Belarus,2001,Northern Territory,0
4175,Czechia,2001,Northern Territory,100
4176,Estonia,2001,Northern Territory,10
4177,Hungary,2001,Northern Territory,130
4178,Latvia,2001,Northern Territory,20
4179,Lithuania,2001,Northern Territory,10
4180,Poland,2001,Northern Territory,140
4181,Russia,2001,Northern Territory,10
4182,Slovakia,2001,Northern Territory,40
4183,Ukraine,2001,Northern Territory,10
4184,Algeria,2001,Northern Territory,30
4185,Egypt,2001,Northern Territory,60
4186,Libya,2001,Northern Territory,0
4187,Morocco,2001,Northern Territory,10
4188,Sudan,2001,Northern Territory,90
4189,Tunisia,2001,Northern Territory,0
4190,Western Sahara,2001,Northern Territory,0
4191,Sp North Africa,2001,Northern Territory,0
4192,South Sudan,2001,Northern Territory,0
4193,Bahrain,2001,Northern Territory,0
4194,Gaza Str/W Bank,2001,Northern Territory,0
4195,Iran,2001,Northern Territory,50
4196,Iraq,2001,Northern Territory,20
4197,Israel,2001,Northern Territory,30
4198,Jordan,2001,Northern Territory,0
4199,Kuwait,2001,Northern Territory,0
4200,Lebanon,2001,Northern Territory,20
4201,Oman,2001,Northern Territory,20
4202,Qatar,2001,Northern Territory,0
4203,Saudi Arabia,2001,Northern Territory,10
4204,Syria,2001,Northern Territory,10
4205,Turkey,2001,Northern Territory,30
4206,Unit Arab Emir,2001,Northern Territory,10
4207,Yemen,2001,Northern Territory,10
4208,Myanmar,2001,Northern Territory,80
4209,Cambodia,2001,Northern Territory,120
4210,Laos,2001,Northern Territory,40
4211,Thailand,2001,Northern Territory,520
4212,Vietnam,2001,Northern Territory,660
4213,Brunei,2001,Northern Territory,50
4214,Indonesia,2001,Northern Territory,950
4215,Malaysia,2001,Northern Territory,730
4216,Philippines,2001,Northern Territory,2130
4217,Singapore,2001,Northern Territory,280
4218,Timor-Leste,2001,Northern Territory,1290
4219,China,2001,Northern Territory,410
4220,Hong Kong,2001,Northern Territory,300
4221,Macau,2001,Northern Territory,10
4222,Mongolia,2001,Northern Territory,0
4223,Taiwan,2001,Northern Territory,60
4224,Japan,2001,Northern Territory,160
4225,"Korea, North",2001,Northern Territory,0
4226,"Korea, South",2001,Northern Territory,80
4227,Bangladesh,2001,Northern Territory,50
4228,Bhutan,2001,Northern Territory,0
4229,India,2001,Northern Territory,590
4230,Maldives,2001,Northern Territory,0
4231,Nepal,2001,Northern Territory,10
4232,Pakistan,2001,Northern Territory,80
4233,Sri Lanka,2001,Northern Territory,350
4234,Afghanistan,2001,Northern Territory,10
4235,Armenia,2001,Northern Territory,0
4236,Azerbaijan,2001,Northern Territory,0
4237,Georgia,2001,Northern Territory,0
4238,Kazakhstan,2001,Northern Territory,0
4239,Kyrgyzstan,2001,Northern Territory,0
4240,Tajikistan,2001,Northern Territory,0
4241,Turkmenistan,2001,Northern Territory,0
4242,Uzbekistan,2001,Northern Territory,0
4243,Bermuda,2001,Northern Territory,0
4244,Canada,2001,Northern Territory,340
4245,St Pierre/Mique,2001,Northern Territory,0
4246,USA,2001,Northern Territory,1500
4247,Argentina,2001,Northern Territory,40
4248,Bolivia,2001,Northern Territory,10
4249,Brazil,2001,Northern Territory,20
4250,Chile,2001,Northern Territory,80
4251,Colombia,2001,Northern Territory,20
4252,Ecuador,2001,Northern Territory,0
4253,Falkland Is,2001,Northern Territory,0
4254,French Guiana,2001,Northern Territory,0
4255,Guyana,2001,Northern Territory,10
4256,Paraguay,2001,Northern Territory,0
4257,Peru,2001,Northern Territory,30
4258,Suriname,2001,Northern Territory,0
4259,Uruguay,2001,Northern Territory,10
4260,Venezuela,2001,Northern Territory,10
4261,"S America, nec",2001,Northern Territory,0
4262,Belize,2001,Northern Territory,0
4263,Costa Rica,2001,Northern Territory,0
4264,El Salvador,2001,Northern Territory,10
4265,Guatemala,2001,Northern Territory,0
4266,Honduras,2001,Northern Territory,0
4267,Mexico,2001,Northern Territory,20
4268,Nicaragua,2001,Northern Territory,0
4269,Panama,2001,Northern Territory,0
4270,Anguilla,2001,Northern Territory,0
4271,Antigua/Barbuda,2001,Northern Territory,0
4272,Aruba,2001,Northern Territory,0
4273,Bahamas,2001,Northern Territory,0
4274,Barbados,2001,Northern Territory,0
4275,Cayman Islands,2001,Northern Territory,0
4276,Cuba,2001,Northern Territory,0
4277,Dominica,2001,Northern Territory,0
4278,Dominican Rep,2001,Northern Territory,10
4279,Grenada,2001,Northern Territory,0
4280,Guadeloupe,2001,Northern Territory,0
4281,Haiti,2001,Northern Territory,0
4282,Jamaica,2001,Northern Territory,20
4283,Martinique,2001,Northern Territory,0
4284,Montserrat,2001,Northern Territory,0
4285,Puerto Rico,2001,Northern Territory,10
4286,St Kitts/Nevis,2001,Northern Territory,0
4287,St Lucia,2001,Northern Territory,0
4288,St Vinc/Grenad,2001,Northern Territory,0
4289,Trinidad/Tobago,2001,Northern Territory,10
4290,Turks/Caicos Is,2001,Northern Territory,0
4291,"Virgin Is, Brit",2001,Northern Territory,0
4292,"Virgin Is, US",2001,Northern Territory,0
4293,St Barthelemy,2001,Northern Territory,0
4294,St Martin (Fr),2001,Northern Territory,0
4295,Bonaire/SE/Saba,2001,Northern Territory,0
4296,Curacao,2001,Northern Territory,0
4297,Sint Maarten Dp,2001,Northern Territory,0
4298,Benin,2001,Northern Territory,0
4299,Burkina Faso,2001,Northern Territory,0
4300,Cameroon,2001,Northern Territory,0
4301,Cabo Verde,2001,Northern Territory,0
4302,Cent Africa Rep,2001,Northern Territory,0
4303,Chad,2001,Northern Territory,0
4304,"Congo, Rep",2001,Northern Territory,0
4305,"Congo, Dem Rep",2001,Northern Territory,0
4306,Cote d'Ivoire,2001,Northern Territory,0
4307,Equator Guinea,2001,Northern Territory,0
4308,Gabon,2001,Northern Territory,0
4309,Gambia,2001,Northern Territory,0
4310,Ghana,2001,Northern Territory,30
4311,Guinea,2001,Northern Territory,0
4312,Guinea-Bissau,2001,Northern Territory,0
4313,Liberia,2001,Northern Territory,0
4314,Mali,2001,Northern Territory,0
4315,Mauritania,2001,Northern Territory,0
4316,Niger,2001,Northern Territory,0
4317,Nigeria,2001,Northern Territory,20
4318,Sao Tome/Princ,2001,Northern Territory,0
4319,Senegal,2001,Northern Territory,10
4320,Sierra Leone,2001,Northern Territory,10
4321,Togo,2001,Northern Territory,0
4322,Angola,2001,Northern Territory,10
4323,Botswana,2001,Northern Territory,0
4324,Burundi,2001,Northern Territory,0
4325,Comoros,2001,Northern Territory,0
4326,Djibouti,2001,Northern Territory,0
4327,Eritrea,2001,Northern Territory,10
4328,Ethiopia,2001,Northern Territory,30
4329,Kenya,2001,Northern Territory,80
