,birth_country,year,destination,values
0,Australia,1996,Australia,"13,984,720"
1,Norfolk Island,1996,Australia,190
2,"Aust E T, nec",1996,Australia,10
3,New Zealand,1996,Australia,"312,240"
4,New Caledonia,1996,Australia,"1,190"
5,PNG,1996,Australia,"26,120"
6,Solomon Islands,1996,Australia,"1,260"
7,Vanuatu,1996,Australia,"1,020"
8,Guam,1996,Australia,40
9,Kiribati,1996,Australia,410
10,Marshall Is,1996,Australia,30
11,"Micronesia, F S",1996,Australia,10
12,Nauru,1996,Australia,490
13,N Mariana Is,1996,Australia,0
14,Palau,1996,Australia,10
15,Cook Islands,1996,Australia,"3,220"
16,Fiji,1996,Australia,"40,930"
17,French Poly,1996,Australia,270
18,Niue,1996,Australia,340
19,Samoa,1996,Australia,"10,660"
20,Samoa American,1996,Australia,90
21,Tokelau,1996,Australia,200
22,Tonga,1996,Australia,"7,750"
23,Tuvalu,1996,Australia,90
24,Wallis/Futuna,1996,Australia,10
25,Pitcairn Is,1996,Australia,0
26,"Polynesia, nec",1996,Australia,10
27,Adelie Land,1996,Australia,0
28,Argentinian A T,1996,Australia,0
29,Australian A T,1996,Australia,0
30,British A T,1996,Australia,0
31,Chilean A T,1996,Australia,0
32,Queen Maud Land,1996,Australia,0
33,Ross Dependency,1996,Australia,0
34,England,1996,Australia,"956,680"
35,Isle of Man,1996,Australia,710
36,N'thern Ireland,1996,Australia,"23,040"
37,Scotland,1996,Australia,"150,110"
38,Wales,1996,Australia,"32,230"
39,Guernsey,1996,Australia,590
40,Jersey,1996,Australia,"1,010"
41,Ireland,1996,Australia,"53,850"
42,Austria,1996,Australia,"22,700"
43,Belgium,1996,Australia,"5,080"
44,France,1996,Australia,"16,500"
45,Germany,1996,Australia,"121,910"
46,Liechtenstein,1996,Australia,20
47,Luxembourg,1996,Australia,130
48,Monaco,1996,Australia,20
49,Netherlands,1996,Australia,"96,370"
50,Switzerland,1996,Australia,"11,050"
51,Denmark,1996,Australia,"9,740"
52,Faroe Islands,1996,Australia,30
53,Finland,1996,Australia,"9,420"
54,Greenland,1996,Australia,20
55,Iceland,1996,Australia,400
56,Norway,1996,Australia,"2,880"
57,Sweden,1996,Australia,"6,380"
58,Aland Islands,1996,Australia,0
59,Andorra,1996,Australia,10
60,Gibraltar,1996,Australia,460
61,Holy See,1996,Australia,0
62,Italy,1996,Australia,"250,360"
63,Malta,1996,Australia,"55,980"
64,Portugal,1996,Australia,"18,660"
65,San Marino,1996,Australia,0
66,Spain,1996,Australia,"14,710"
67,Albania,1996,Australia,"1,200"
68,Bosnia/Herzegov,1996,Australia,"20,570"
69,Bulgaria,1996,Australia,"2,600"
70,Croatia,1996,Australia,"57,640"
71,Cyprus,1996,Australia,"23,310"
72,North Macedonia,1996,Australia,"49,660"
73,Greece,1996,Australia,"138,080"
74,Moldova,1996,Australia,430
75,Romania,1996,Australia,"13,130"
76,Slovenia,1996,Australia,"9,460"
77,Montenegro,1996,Australia,"5,170"
78,Serbia,1996,Australia,"50,500"
79,Kosovo,1996,Australia,0
80,Belarus,1996,Australia,"1,270"
81,Czechia,1996,Australia,"13,690"
82,Estonia,1996,Australia,"2,450"
83,Hungary,1996,Australia,"27,750"
84,Latvia,1996,Australia,"9,180"
85,Lithuania,1996,Australia,"4,700"
86,Poland,1996,Australia,"72,420"
87,Russia,1996,Australia,"17,190"
88,Slovakia,1996,Australia,"5,840"
89,Ukraine,1996,Australia,"17,560"
90,Algeria,1996,Australia,870
91,Egypt,1996,Australia,"38,610"
92,Libya,1996,Australia,"1,290"
93,Morocco,1996,Australia,"1,230"
94,Sudan,1996,Australia,"2,570"
95,Tunisia,1996,Australia,490
96,Western Sahara,1996,Australia,0
97,Sp North Africa,1996,Australia,0
98,South Sudan,1996,Australia,0
99,Bahrain,1996,Australia,670
100,Gaza Str/W Bank,1996,Australia,"3,060"
101,Iran,1996,Australia,"19,260"
102,Iraq,1996,Australia,"16,400"
103,Israel,1996,Australia,"7,110"
104,Jordan,1996,Australia,"2,980"
105,Kuwait,1996,Australia,"1,740"
106,Lebanon,1996,Australia,"77,670"
107,Oman,1996,Australia,160
108,Qatar,1996,Australia,170
109,Saudi Arabia,1996,Australia,"1,110"
110,Syria,1996,Australia,"6,620"
111,Turkey,1996,Australia,"32,100"
112,Unit Arab Emir,1996,Australia,970
113,Yemen,1996,Australia,290
114,Myanmar,1996,Australia,"11,560"
115,Cambodia,1996,Australia,"24,080"
116,Laos,1996,Australia,"11,020"
117,Thailand,1996,Australia,"19,890"
118,Vietnam,1996,Australia,"158,740"
119,Brunei,1996,Australia,"1,900"
120,Indonesia,1996,Australia,"49,020"
121,Malaysia,1996,Australia,"82,530"
122,Philippines,1996,Australia,"104,820"
123,Singapore,1996,Australia,"31,260"
124,Timor-Leste,1996,Australia,0
125,China,1996,Australia,"118,640"
126,Hong Kong,1996,Australia,"75,960"
127,Macau,1996,Australia,"1,970"
128,Mongolia,1996,Australia,150
129,Taiwan,1996,Australia,"19,380"
130,Japan,1996,Australia,"25,280"
131,"Korea, North",1996,Australia,260
132,"Korea, South",1996,Australia,"30,470"
133,Bangladesh,1996,Australia,"5,650"
134,Bhutan,1996,Australia,50
135,India,1996,Australia,"80,470"
136,Maldives,1996,Australia,170
137,Nepal,1996,Australia,"1,410"
138,Pakistan,1996,Australia,"8,710"
139,Sri Lanka,1996,Australia,"53,880"
140,Afghanistan,1996,Australia,"7,170"
141,Armenia,1996,Australia,910
142,Azerbaijan,1996,Australia,90
143,Georgia,1996,Australia,190
144,Kazakhstan,1996,Australia,190
145,Kyrgyzstan,1996,Australia,30
146,Tajikistan,1996,Australia,30
147,Turkmenistan,1996,Australia,10
148,Uzbekistan,1996,Australia,340
149,Bermuda,1996,Australia,380
150,Canada,1996,Australia,"27,970"
151,St Pierre/Mique,1996,Australia,20
152,USA,1996,Australia,"56,050"
153,Argentina,1996,Australia,"12,140"
154,Bolivia,1996,Australia,620
155,Brazil,1996,Australia,"3,690"
156,Chile,1996,Australia,"26,850"
157,Colombia,1996,Australia,"2,870"
158,Ecuador,1996,Australia,"1,380"
